10000 629
20000 1511
30000 2277
40000 2627
50000 2967
60000 3991
70000 4157
80000 5036
90000 8374
100000 6738
110000 5599
120000 6887
130000 8501
140000 7847
150000 8828
160000 9334
170000 8292
180000 13440
190000 8075
200000 8576
210000 11812
220000 13879
230000 9714
240000 15321
250000 14259
260000 14170
270000 16293
280000 16614
290000 14555
300000 18634
310000 19934
320000 17194
330000 17859
340000 15191
350000 16958
360000 18906
370000 15651
380000 15822
390000 21381
400000 22755
410000 18463
420000 23369
430000 17499
440000 24756
450000 19388
460000 26724
470000 21632
480000 24459
490000 29568
500000 22306
510000 23541
520000 21653
530000 32823
540000 29614
550000 28316
560000 26394
570000 38892
580000 34874
590000 34582
600000 34215
610000 27078
620000 28683
630000 29646
640000 35063
650000 30378
660000 31042
670000 32146
680000 31265
690000 32516
700000 38782
710000 44449
720000 50377
730000 45575
740000 38348
750000 68175
760000 41125
770000 51923
780000 45167
790000 45511
800000 46228
810000 46528
820000 40615
830000 42771
840000 48717
850000 47585
860000 54503
870000 56796
880000 44606
890000 39618
900000 43863
910000 39097
920000 38198
930000 40054
940000 46252
950000 39263
960000 45141
970000 61680
980000 51554
990000 59580
1000000 46092
