10000 271
20000 621
30000 865
40000 1165
50000 1245
60000 1457
70000 1913
80000 1729
90000 1848
100000 2662
110000 2351
120000 3654
130000 2964
140000 3241
150000 3445
160000 5084
170000 4099
180000 3638
190000 3867
200000 4048
210000 5097
220000 4571
230000 4705
240000 4667
250000 5225
260000 6322
270000 5556
280000 6477
290000 6023
300000 6378
310000 8126
320000 5592
330000 7202
340000 6256
350000 5230
360000 5751
370000 5345
380000 5574
390000 9276
400000 5904
410000 8004
420000 8132
430000 11171
440000 9177
450000 11828
460000 9349
470000 10646
480000 7076
490000 11776
500000 12790
510000 11160
520000 11927
530000 12767
540000 9898
550000 10632
560000 8334
570000 13800
580000 15629
590000 16932
600000 22944
610000 23191
620000 20922
630000 20894
640000 21153
650000 21689
660000 21587
670000 25312
680000 22887
690000 25308
700000 26775
710000 26976
720000 33463
730000 34744
740000 26521
750000 29913
760000 25843
770000 23611
780000 20502
790000 26816
800000 24414
810000 26700
820000 22963
830000 22296
840000 21128
850000 24668
860000 24128
870000 25820
880000 32684
890000 30816
900000 26479
910000 25541
920000 28989
930000 25835
940000 37261
950000 50479
960000 38897
970000 34894
980000 36750
990000 32907
1000000 34791
